uid;randonnee;alpinisme;velo;itineraires d'acces;itineraires associes
1741;1;1;0;1;1
2319;1;0;0;1;1
1276;1;1;0;1;1
1548;1;1;0;1;1
1538;1;1;0;1;1
1547;1;1;0;1;1
1546;1;1;0;1;1
5572;1;1;0;1;1
1552;1;1;1;1;1
1529;1;1;0;1;1
1767;1;1;0;1;1
2296;1;1;0;1;1
1544;1;0;0;1;1
1752;1;1;0;1;1
6472;1;1;0;1;1
1488;0;1;0;1;1
1710;1;1;0;1;1
1535;1;1;0;1;1
1537;1;1;0;1;1
1753;1;1;0;1;1
1545;1;1;0;1;1
1166;1;1;1;1;1
4223;1;1;0;1;1
1540;1;1;0;1;1
1754;1;1;0;1;1
2166;1;1;0;1;1
1165;1;1;0;1;1
1341;0;0;0;0;0
1550;1;1;0;1;1
1549;1;1;0;1;1
647;1;1;0;1;1
1536;1;1;0;1;1
1000;0;0;0;0;0
1001;1;1;0;1;1
