uid;nom
1741;Refuge Evariste Chancel
2319;Refuge des Clots
1276;Refuge de Chalance
1548;Refuge de l'Olan
1538;Refuge des Bans
1547;Refuge de l'Alpe du Villar d'Arène
1546;Refuge de la Lavey
5572;Chalet- refuge de Chamoissière
1552;Refuge du Clot (Xavier Blanc)
1529;L'Alpe du Pin
1767;Refuge de Chabournéou
2296;Refuge du Pré de La Chaumette
1544;Refuge du Soreiller
1752;Refuge du Promontoire
6472;Refuge de Font Turbat
1488;Refuge de l'Aigle
1710;Refuge du Pavé
1535;Refuge des Ecrins
1537;Refuge Adèle Planchard
1753;Refuge du Châtelleret
1545;Refuge de la Selle
1166;Refuge des Souffles
4223;Gite des trois cols
1540;Refuge du Sélé
1754;Refuge de la Pilatte
2166;Châlet Alpin de la Bérarde
1165;Refuge de Vallonpierre
1341;Refuge de la Muzelle
1550;Refuge du Glacier Blanc
1549;Refuge du Pigeonnier
647;Refuge Temple Ecrins
1536;Refuge du Pelvoux
1000; Refuge du Kern
