UID;website;webite2;facebook
1741;http://www.refuge-chancel.com/;;;
2319;http://www.lerefugedesclots.fr/9;;https://www.facebook.com/refugedesclots/?ref=br_rs;
1276;http://refugedechalance.ffcam.fr/;http://valgaudemar.free.fr/chalance.htm;;;
1548;http://refugedelolan.chez.com/;http://valgaudemar.free.fr/olan.htm;https://www.facebook.com/refugedelolan.fr/?ref=br_rs;
1538;http://refugedesbans.ffcam.fr/;;https://www.facebook.com/pages/Les-Bans/142945805722602?fref=ts&rf=1450876615213907;
1547;https://refugealpedevillardarene.ffcam.fr/home.html;;https://www.facebook.com/Refuge-de-lAlpe-de-Villar-dAr%C3%A8ne-1585126605084387/;
1546;https://refugelalavey.ffcam.fr/;https://www.refuge-lalavey.com/;https://www.facebook.com/Refuge-de-la-Lavey-1000668730010001/;
5572;https://www.chaletrefugedechamoissiere.fr/;;https://www.facebook.com/chaletrefugechamoissiere/;
1552;https://chaletduclot.ffcam.fr/;http://valgaudemar.free.fr/xavier_blanc.htm;https://www.facebook.com/Refuge-du-Clot-Xavier-Blanc-1394018960818771/?fref=ts;
1529;;;https://www.facebook.com/alpedupin/;
1767;https://refugechabourneou.ffcam.fr/;http://valgaudemar.free.fr/chabourneou.htm;http://facebook.com/chabourneou;
2296;http://refugepredelachaumette.ffcam.fr/;;;
1544;https://soreiller.com/;;https://www.facebook.com/Refuge-du-Soreiller-581992211959653/;
1752;https://www.refuge-promontoire.com/;https://refugedupromontoire.ffcam.fr/;https://www.facebook.com/refugepromontoire/;
6472;https://www.refuge-font-turbat.com/;https://refugefontturbat.ffcam.fr/;https://www.facebook.com/refugefontturbat/;
1488;https://refugedelaigle.ffcam.fr/;https://www.refugedelaigle.fr/;https://www.facebook.com/RefugedelAigle/;
1710;http://refugedupave.ffcam.fr/;https://www.refugedupave.com/;https://www.facebook.com/refugedupave/;
1535;https://refugedesecrins.ffcam.fr/;https://www.refuge-ecrins.fr/;https://www.facebook.com/Refuge-des-Ecrins-937569819622607;
1537;https://www.refuge-adele-planchard.com/;;https://www.facebook.com/Refuge-Ad%C3%A8le-Planchard-433393826735079;
1753;https://refugechatelleret.ffcam.fr/;;https://www.facebook.com/Refuge-du-Ch%C3%A2telleret-1433998473566460;
1545;http://www.refugedelaselle.fr/;;https://www.facebook.com/Refuge-de-la-Selle-1439760849685600/;
1166;https://refugedessouffles.ffcam.fr/;https://sites.google.com/site/refugedessouffles/;https://www.facebook.com/Refuge-des-Souffles-1585318011722711;
4223;http://www.gitedes3cols.fr/;;https://www.facebook.com/gitedestroiscols/;
