uid,date de construction,nb de places,couettes,couvertures,location de Draps,lavabos,douches,eau courante,vaisselle,equipement cuisson,chauffage,wifi,salle de reunion,restauration,prises electriques,salle hors-sac independante,WC interieurs
1741,,35,1,,,1,,1,,,,,,1,,,1
2319,1986,20,1,,,1,,1,,,,,,1,,,0
1276,,14,,,,,,,,,,,,,,,0
1548,1978,56,1,0,1,1,0,1,0,1,1,0,1,1,0,0,0
1538,1948,22,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0
1547,,94,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1
1546,1972,45,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
5572,,18,1,,1,1,1,1,,,,,,1,,,0
1552,,40,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1
1529,1947,16,,1,,,,,,,1,,,1,,,0
1767,,44,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
2296,1979,60,1,0,0,1,1,1,0,0,1,0,0,1,0,0,1
1544,1957,90,1,,,1,1,1,1,0,0,,,1,,,
1752,,30,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
6472,1962,53,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1
1488,1913,30,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1710,1970,26,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1535,1969,120,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
1537,1920,64,,,,0,0,0,,,,,,1,,,0
1753,1957,70,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1
1545,,75,,1,,1,,1,,0,0,,,1,,1,0
1166,2007,30,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1
4223,,40,,,,1,,1,,,,,,1,,,0
1540,1983,76,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
1754,1994,118,1,1,0,1,1,1,0,0,1,0,1,1,0,1,1
2166,,61,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1
1165,2001,39,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1
1341,1967,52,0,1,,1,,1,1,,0,,,,,,0
1550,,135,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0
1549,1967,52,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1
647,1947,48,1,0,0,1,1,1,1,0,1,0,0,1,0,0,1
1536,,56,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1
1000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,,26,0,1,0,,,,0,0,0,0,,1,,,0
