#The data included in this document is from www.refuges.info. The data is made available under CC By-Sa 2.0
id_point;nom;type;altitude;latitude;longitude;état;nombre de place;lien
1741;Refuge Evariste Chancel;refuge gardé;2506;45.02687;6.27117;;35;http://www.refuges.info/point/1741/refuge-garde/Ecrins/Refuge-Evariste-Chancel/
2319;Refuge des Clots;refuge gardé;1517;45.04361;6.18288;;20;http://www.refuges.info/point/2319/refuge-garde/Ecrins/Refuge-des-Clots/
1276;Refuge de Chalance;refuge gardé;2560;44.84143;6.23615;;14;http://www.refuges.info/point/1276/refuge-garde/Ecrins/Refuge-de-Chalance/
1548;Refuge de l'Olan;refuge gardé;2344;44.84151;6.20453;;56;http://www.refuges.info/point/1548/refuge-garde/Ecrins/Refuge-de-l-Olan/
1538;Refuge des Bans;refuge gardé;2083;44.83442;6.3612;;22;http://www.refuges.info/point/1538/refuge-garde/Ecrins/Refuge-des-Bans/
1547;Refuge de l'Alpe du Villar d'Arène;refuge gardé;2079;44.99619;6.38445;;94;http://www.refuges.info/point/1547/refuge-garde/Ecrins/Refuge-de-l-Alpe-du-Villar-d-Arene/
1546;Refuge de la Lavey;refuge gardé;1797;44.89862;6.20616;;45;http://www.refuges.info/point/1546/refuge-garde/Ecrins/Refuge-de-la-Lavey/
5572;Chalet- refuge de Chamoissière;refuge gardé;2106;44.9954880939572;6.38550281524658;;18;http://www.refuges.info/point/5572/refuge-garde/Ecrins/Chalet--refuge-de-Chamoissiere/
1552;Refuge du Clot (Xavier Blanc);refuge gardé;1397;44.82925;6.27554;;40;http://www.refuges.info/point/1552/refuge-garde/Ecrins/Refuge-du-Clot-Xavier-Blanc/
1529;L'Alpe du Pin;refuge gardé;1805;44.94464;6.17329;;16;http://www.refuges.info/point/1529/refuge-garde/Ecrins/L-Alpe-du-Pin/
1767;Refuge de Chabournéou;refuge gardé;2020;44.80995;6.31482;;44;http://www.refuges.info/point/1767/refuge-garde/Ecrins/Refuge-de-Chabourneou/
2296;Refuge du Pré de La Chaumette;refuge gardé;1805;44.76534;6.32756;;60;http://www.refuges.info/point/2296/refuge-garde/Ecrins/Refuge-du-Pre-de-La-Chaumette/
1544;Refuge du Soreiller;refuge gardé;2730;44.9604;6.2437;;90;http://www.refuges.info/point/1544/refuge-garde/Ecrins/Refuge-du-Soreiller/
1752;Refuge du Promontoire;refuge gardé;3092;44.99843;6.30492;;30;http://www.refuges.info/point/1752/refuge-garde/Ecrins/Refuge-du-Promontoire/
6472;Refuge de Font Turbat;refuge gardé;2169;44.865;6.17769;;53;http://www.refuges.info/point/6472/refuge-garde/Ecrins/Refuge-de-Font-Turbat/
1488;Refuge de l'Aigle;refuge gardé;3440;45.01129;6.32455;;30;http://www.refuges.info/point/1488/refuge-garde/Ecrins/Refuge-de-l-Aigle/
1710;Refuge du Pavé;refuge gardé;2841;44.98592;6.32856;;26;http://www.refuges.info/point/1710/refuge-garde/Ecrins/Refuge-du-Pave/
1535;Refuge des Ecrins;refuge gardé;3175;44.9473;6.38284;;120;http://www.refuges.info/point/1535/refuge-garde/Ecrins/Refuge-des-Ecrins/
1537;Refuge Adèle Planchard;refuge gardé;3169;44.96892;6.34515;;64;http://www.refuges.info/point/1537/refuge-garde/Ecrins/Refuge-Adele-Planchard/
1753;Refuge du Châtelleret;refuge gardé;2232;44.97573;6.29962;;70;http://www.refuges.info/point/1753/refuge-garde/Ecrins/Refuge-du-Chatelleret/
1545;Refuge de la Selle;refuge gardé;2673;44.98228;6.24913;;75;http://www.refuges.info/point/1545/refuge-garde/Ecrins/Refuge-de-la-Selle/
1166;Refuge des Souffles;refuge gardé;1980;44.84464;6.14658;;30;http://www.refuges.info/point/1166/refuge-garde/Ecrins/Refuge-des-Souffles/
4223;Gite des trois cols;refuge gardé;1477;44.61603;6.33258;;40;http://www.refuges.info/point/4223/refuge-garde/Ecrins/Gite-des-trois-cols/
1540;Refuge du Sélé;refuge gardé;2513;44.87332;6.39053;;76;http://www.refuges.info/point/1540/refuge-garde/Ecrins/Refuge-du-Sele/
1754;Refuge de la Pilatte;refuge gardé;2577;44.87;6.3321;;118;http://www.refuges.info/point/1754/refuge-garde/Ecrins/Refuge-de-la-Pilatte/
2166;Châlet Alpin de la Bérarde;refuge gardé;1734;44.9325;6.2935;;61;http://www.refuges.info/point/2166/refuge-garde/Ecrins/Chalet-Alpin-de-la-Berarde/
1165;Refuge de Vallonpierre;refuge gardé;2271;44.7986;6.2898;;39;http://www.refuges.info/point/1165/refuge-garde/Ecrins/Refuge-de-Vallonpierre/
